Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
3334	YJL006C	NC_001142.9	423138	424109	-	972	-14.942435788758	-15.060460809455	4.97785945161422	3425.01270178547	2.40681397173906e-17	2.59223735026723e-16
4693	YMR111C	NC_001145.3	492404	493792	-	1389	-15.4418701605678	-15.1145355046952	4.86757561602567	3425.23442753538	2.41191654610448e-17	2.59223735026723e-16
5258	YNL006W	NC_001146.8	620067	620978	+	912	-13.9761236505576	-13.2133867812005	6.20476758391635	3420.20117721753	2.41374923553653e-17	2.59223735026723e-16
2136	YGL113W	NC_001139.9	295932	297938	+	2007	-15.2503749762353	-14.9427231294147	5.0223926680888	3423.54362790107	2.41429959552028e-17	2.59223735026723e-16
5881	YOR352W	NC_001147.6	997213	998244	+	1032	-14.9219291589743	-14.6646350891345	5.24350714726376	3421.58881927132	2.41694750578358e-17	2.59223735026723e-16
5547	YOR020W-A	NC_001147.6	371685	371957	+	273	-12.3487997417206	-13.3642628364912	7.13128742147631	3418.48519337309	2.41707782765124e-17	2.59223735026723e-16
1308	YDR328C	NC_001136.10	1125434	1126018	-	585	-13.332323992384	-13.3489215011965	6.57778628943193	3416.60889419091	2.42617168703224e-17	2.59223735026723e-16
2793	YHR143W	NC_001140.6	385510	386487	+	978	-12.3516028321735	-12.6185406612893	7.17938331301436	3415.12750450641	2.43094149796499e-17	2.59223735026723e-16
2512	YGR232W	NC_001139.9	953960	954646	+	687	-13.3808114440641	-13.6476419277376	6.32800316754957	3415.71065812258	2.43106778051502e-17	2.59223735026723e-16
4775	YMR185W	NC_001145.3	629025	631970	+	2946	-13.9121039191219	-13.3416069395998	6.68178725699058	3414.4207243182	2.43670773738794e-17	2.59223735026723e-16
5439	YOL078W	NC_001147.6	181682	185212	+	3531	-13.5342513436228	-13.6667554035528	6.52245832819436	3414.0123051728	2.43782471975152e-17	2.59223735026723e-16
1379	YDR392W	NC_001136.10	1258696	1259709	+	1014	-14.3174422954135	-14.3236859470449	5.66838071371844	3411.51729739911	2.45368693928343e-17	2.59223735026723e-16
5749	YOR221C	NC_001147.6	756476	757558	-	1083	-14.6504163484172	-14.4489994170024	5.62481917405808	3408.34336342913	2.46899829749316e-17	2.59223735026723e-16
5377	YOL137W	NC_001147.6	65621	67114	+	1494	-15.2232951275237	-14.0471446067762	5.7926206249125	3408.36811552746	2.47266711625209e-17	2.59223735026723e-16
5813	YOR286W	NC_001147.6	850280	850729	+	450	-12.9370417711493	-12.9726863468877	6.80197489923	3404.86543375307	2.47610281690073e-17	2.59223735026723e-16
3077	YIR011C	NC_001141.2	377287	378246	-	960	-14.3297546793879	-14.1998343657184	5.69579266485204	3406.19484607728	2.4766417665946e-17	2.59223735026723e-16
593	YCL014W	NC_001135.5	96281	101191	+	4911	-13.8021482169101	-14.1230166041826	6.25618360859385	3404.5337062746	2.48061355277755e-17	2.59223735026723e-16
2081	YGL169W	NC_001139.9	186059	187339	+	1281	-15.8580282053574	-14.8852258027205	4.95479320911833	3410.88249628061	2.48142252696342e-17	2.59223735026723e-16
2004	YGL245W	NC_001139.9	39023	41149	+	2127	-12.0393083922638	-12.2937817330377	7.88205605067011	3402.80259825874	2.48262580477124e-17	2.59223735026723e-16
1216	YDR244W	NC_001136.10	950563	952401	+	1839	-12.9475412279844	-13.5377815364893	6.7752807452633	3401.14308201632	2.4927553243086e-17	2.59223735026723e-16
6102	YPL110C	NC_001148.4	341068	344739	-	3672	-14.4828793931281	-13.5941045083354	6.39064613721981	3401.77746652542	2.49367885804491e-17	2.59223735026723e-16
271	YBR046C	NC_001134.8	330507	331511	-	1005	-13.4823915644152	-13.2362794181957	6.66904030885645	3400.68244307822	2.49537572708024e-17	2.59223735026723e-16
2296	YGR037C	NC_001139.9	559731	559994	-	264	-13.1371483859311	-12.521467517265	7.12743276168575	3400.04814010272	2.49683474656962e-17	2.59223735026723e-16
4157	YLR214W	NC_001144.5	568567	570627	+	2061	-15.6572731441651	-14.8762461023158	5.48921253148878	3405.07004062881	2.49867669042879e-17	2.59223735026723e-16
1011	YDR044W	NC_001136.10	546642	547628	+	987	-13.6042562557547	-13.6418220532678	6.1568304408688	3399.19390033485	2.50384727310047e-17	2.59223735026723e-16
128	YBL088C	NC_001134.8	51019	59382	-	8364	-13.3931452124109	-13.007930476531	7.17053461991619	3398.21558982117	2.50481803945314e-17	2.59223735026723e-16
2720	YHR076W	NC_001140.6;NC_001140.6	251101;251249	251155;252225	+;+	1032	-14.044377265657	-13.8708108080516	5.87699657365412	3399.52614981879	2.50507537041664e-17	2.59223735026723e-16
1868	YFL038C	NC_001138.5	55366	55986	-	621	-11.3705906011864	-11.8552853974454	8.20058749114844	3396.9118544003	2.50835599024993e-17	2.59223735026723e-16
3672	YKL062W	NC_001143.9	323228	325120	+	1893	-12.048966197295	-11.9160628344137	8.49449609979656	3396.55794415657	2.50993894905608e-17	2.59223735026723e-16
556	YCL052C	NC_001135.5	34143	35393	-	1251	-14.0029731849764	-13.4633585100059	6.6764742685746	3397.49909391115	2.51037097770057e-17	2.59223735026723e-16
5389	YOL124C	NC_001147.6	85456	86757	-	1302	-16.0528971332928	-15.5159455309279	4.08374567632467	3412.39162577254	2.52083801355796e-17	2.59223735026723e-16
2442	YGR167W	NC_001139.9	832456	833157	+	702	-12.3496626319213	-12.5938799389613	7.36378144927836	3394.26520609127	2.52189504897127e-17	2.59223735026723e-16
4948	YNL315C	NC_001146.8	43324	44280	-	957	-13.6123217105452	-13.3940060785619	6.72493687601028	3394.72136124767	2.52196868467348e-17	2.59223735026723e-16
4137	YLR192C	NC_001144.5	538792	539589	-	798	-12.5480182054568	-13.569885539272	6.68963517734645	3393.305076969	2.52845101776598e-17	2.59223735026723e-16
4682	YMR102C	NC_001145.3	469848	472352	-	2505	-12.4507629943285	-12.9560442047604	7.39503326163705	3391.21475599571	2.53510091075162e-17	2.59223735026723e-16
4974	YNL288W	NC_001146.8	90303	91424	+	1122	-14.1960799528122	-14.1955510744234	5.83581027562602	3392.58882674445	2.535742725783e-17	2.59223735026723e-16
6105	YPL107W	NC_001148.4	349119	349865	+	747	-14.2504332607196	-14.0042373699311	6.00537013439443	3392.05184151948	2.53715031577929e-17	2.59223735026723e-16
3376	YJR039W	NC_001142.9	503936	507301	+	3366	-13.2706143113245	-14.795183942712	6.41762335456672	3392.16221631329	2.53757839522376e-17	2.59223735026723e-16
1049	YDR081C	NC_001136.10	607304	610081	-	2778	-13.8710786205857	-13.942675587302	6.32699723248164	3391.32069672247	2.53915679613114e-17	2.59223735026723e-16
5690	YOR162C	NC_001147.6	639560	641992	-	2433	-14.3730205120917	-14.0264021845158	5.72077889545762	3390.60618821012	2.54647756038047e-17	2.59223735026723e-16
193	YBL022C	NC_001134.8	177874	181275	-	3402	-11.2667622040496	-12.3297404302449	8.19120575428244	3387.00550613929	2.55314963678397e-17	2.59223735026723e-16
3595	YKL135C	NC_001143.9	186460	188640	-	2181	-13.302488863094	-13.2158484407298	6.78621064429578	3387.2324881211	2.55550415874937e-17	2.59223735026723e-16
2740	YHR094C	NC_001140.6	290913	292625	-	1713	-14.7342460527568	-13.6450653134432	9.00286434603808	3386.60332813534	2.56235881279759e-17	2.59223735026723e-16
4284	YLR333C	NC_001144.5	795573	795899	-	327	-12.6081559027899	-12.479361639272	7.33301949759504	3383.71100192504	2.56966127962723e-17	2.59223735026723e-16
861	YDL103C	NC_001136.10	275148	276581	-	1434	-14.8012463170163	-14.3207464059315	5.32698666011004	3385.6974613676	2.57373574947442e-17	2.59223735026723e-16
2207	YGL044C	NC_001139.9	416146	417036	-	891	-14.2723565550939	-14.4261654290449	5.69157664693634	3384.39008570164	2.57423119896187e-17	2.59223735026723e-16
5937	YPL270W	NC_001148.4	30482	32803	+	2322	-13.0797184465581	-13.0870266119166	6.86061086736903	3382.56113798505	2.5762440435974e-17	2.59223735026723e-16
5231	YNL032W	NC_001146.8	574506	575351	+	846	-15.0727595423561	-14.5475639969056	5.30541662283415	3385.1408620475	2.57878673033827e-17	2.59223735026723e-16
1402	YDR419W	NC_001136.10	1303174	1305072	+	1899	-15.3997411716775	-14.8241735524423	5.46671547078035	3385.54307313834	2.58154240443523e-17	2.59223735026723e-16
2232	YGL020C	NC_001139.9	457163	457870	-	708	-14.2744612454349	-14.381969012654	5.57628517581888	3380.51512164819	2.59309615159926e-17	2.59223735026723e-16
4993	YNL273W	NC_001146.8	122883	126599	+	3717	-13.7921797618821	-13.2341372281665	6.37100360708285	3378.98522476135	2.59525912737087e-17	2.59223735026723e-16
2848	YHR193C	NC_001140.6	487712	488236	-	525	-11.3874179809175	-11.7848651964789	8.00516290265402	3377.37152232174	2.59795900732137e-17	2.59223735026723e-16
4748	YMR162C	NC_001145.3	578951	583921	-	4971	-13.8873245411688	-13.3127795145609	6.93225458275295	3377.51654735022	2.6006477456591e-17	2.59223735026723e-16
5816	YOR289W	NC_001147.6	853357	854112	+	756	-13.7177521400574	-13.862828941262	6.46704179751439	3377.59627585287	2.60097740241321e-17	2.59223735026723e-16
2579	YHL044W	NC_001140.6	13565	14272	+	708	-16.4785495772703	-16.0509691163547	4.4062864017449	3396.79224461215	2.60604454510644e-17	2.59223735026723e-16
4066	YLR152C	NC_001144.5	442958	444688	-	1731	-14.4096469466041	-13.5012871676086	6.9721654543288	3375.91163352531	2.60966859566414e-17	2.59223735026723e-16
4864	YMR266W	NC_001145.3	798518	801379	+	2862	-12.1525711356078	-12.5289946538173	7.44133709641991	3372.68124062321	2.6203937782632e-17	2.59223735026723e-16
5477	YOL042W	NC_001147.6	249825	250916	+	1092	-15.8083789339132	-14.6791190841067	5.1966867692384	3378.06845410127	2.62570396512232e-17	2.59223735026723e-16
3211	YJL121C	NC_001142.9	190374	191090	-	717	-14.1903916588756	-14.7651315998456	5.36111684445285	3373.4944546945	2.62954798063076e-17	2.59223735026723e-16
1061	YDR092W	NC_001136.10;NC_001136.10	629876;630174	629905;630605	+;+	462	-13.1725883509627	-14.0408922120026	6.30759409061358	3371.32001815693	2.63090529929472e-17	2.59223735026723e-16
2798	YHR147C	NC_001140.6	392639	393283	-	645	-13.9491768887048	-14.0952250455413	5.74009707147806	3370.67463687911	2.63802306228452e-17	2.59223735026723e-16
3990	YLR078C	NC_001144.5;NC_001144.5	285736;286557	286467;286559	-;-	735	-14.4729947338945	-14.5430686666861	5.3588839889382	3369.42825617704	2.64806093965429e-17	2.59223735026723e-16
3608	YKL121W	NC_001143.9	214142	216700	+	2559	-14.1970122961254	-14.4244726391072	6.0193322262315	3366.77207324577	2.65473308356091e-17	2.59223735026723e-16
2128	YGL120C	NC_001139.9	281634	283937	-	2304	-14.6782529156921	-14.0510913266627	5.63061315381077	3367.21805805397	2.65666159441042e-17	2.59223735026723e-16
2115	YGL134W	NC_001139.9	255663	256964	+	1302	-14.5671917677946	-14.2243544125358	5.99698863432641	3364.698206988	2.66594095151784e-17	2.59223735026723e-16
4111	YLR163C	NC_001144.5	491866	493254	-	1389	-12.8376442386011	-13.0168507845557	7.09001227609166	3362.40901831384	2.66970086324495e-17	2.59223735026723e-16
1311	YDR331W	NC_001136.10	1129588	1130823	+	1236	-14.4307908795203	-14.2470733676814	5.53009351451945	3362.74373888241	2.67768889279592e-17	2.59223735026723e-16
5535	YOR010C	NC_001147.6	346195	346950	-	756	-15.6800825949904	-16.1405297094691	4.74032328085167	3371.16340845584	2.68189486697558e-17	2.59223735026723e-16
4935	YNL330C	NC_001146.8	18001	19302	-	1302	-13.4900156882027	-13.5071793580879	6.44913156609409	3360.00879337215	2.68317539244403e-17	2.59223735026723e-16
4253	YLR306W	NC_001144.5;NC_001144.5	744151;744288	744153;744851	+;+	567	-14.7790281586396	-15.9685067680081	4.64776343018943	3366.52249264574	2.6898165601058e-17	2.59223735026723e-16
3715	YKL020C	NC_001143.9	398832	402080	-	3249	-12.258725556071	-12.4305286767111	7.77615400667339	3355.8709691089	2.69980775480578e-17	2.59223735026723e-16
5271	YNR007C	NC_001146.8	639182	640114	-	933	-14.7152083170884	-14.4889464806927	5.57123555770839	3356.40333489562	2.70883310270188e-17	2.59223735026723e-16
4239	YLR293C	NC_001144.5	720771	721430	-	660	-12.5449767624986	-13.2992949571549	6.73459094079994	3353.13456029203	2.71688996927056e-17	2.59223735026723e-16
5123	YNL135C	NC_001146.8	371882	372226	-	345	-12.0311086498729	-12.407928085204	7.53338154664481	3352.02743147938	2.71885345861109e-17	2.59223735026723e-16
2592	YHL031C	NC_001140.6	38815	39486	-	672	-12.9541848138768	-13.5850299737012	6.50914995226313	3351.21827571779	2.72612314455744e-17	2.59223735026723e-16
6159	YPL054W	NC_001148.4	455759	456664	+	906	-14.0639718066713	-15.1140733663756	6.007563391563	3352.75197560822	2.72651790866404e-17	2.59223735026723e-16
3202	YJL129C	NC_001142.9	173599	177306	-	3708	-12.7269922541779	-12.5773616640934	7.63006887770647	3349.66966473142	2.7304245950566e-17	2.59223735026723e-16
110	YBL104C	NC_001134.8	18177	21293	-	3117	-14.4066047191617	-14.3208255685017	5.92730509634472	3351.05447430467	2.7316825599908e-17	2.59223735026723e-16
581	YCL026C-B	NC_001135.5	73405	73986	-	582	-14.6345080154673	-14.1500146715259	5.29428172685509	3353.23488705761	2.73340844856281e-17	2.59223735026723e-16
2723	YHR079C	NC_001140.6	258244	261591	-	3348	-14.1602525289584	-13.9366467280607	6.46605239427328	3348.63036810173	2.74073101394732e-17	2.59223735026723e-16
6319	YPR108W	NC_001148.4	742454	743743	+	1290	-12.2279079178764	-12.1621705251915	7.56567772633723	3347.13092909153	2.74342891639646e-17	2.59223735026723e-16
5164	YNL094W	NC_001146.8	447611	449374	+	1764	-14.340902127298	-14.3602482548977	5.77677612348136	3347.74283648662	2.74852495940759e-17	2.59223735026723e-16
265	YBR041W	NC_001134.8	318266	320275	+	2010	-14.2855691296925	-13.6966554437709	6.15659907935822	3345.43110949235	2.75722350372138e-17	2.59223735026723e-16
2423	YGR154C	NC_001139.9	796798	797868	-	1071	-15.3809635059945	-14.5800822863469	5.55713808702683	3346.83708145305	2.76443894389021e-17	2.59223735026723e-16
5917	YOR389W	NC_001147.6	1074213	1076087	+	1875	-16.4031076322065	-16.0825165206482	4.2741185277542	3362.03774901151	2.76725053017798e-17	2.59223735026723e-16
4897	YMR296C	NC_001145.3	859215	860891	-	1677	-12.794323598104	-14.0570981742832	6.33850196363931	3341.7564786183	2.77574975980641e-17	2.59223735026723e-16
6030	YPL180W	NC_001148.4	205248	207647	+	2400	-14.0055065406066	-14.627718158757	5.78043068645983	3341.83582813116	2.77829304787585e-17	2.59223735026723e-16
756	YDL212W	NC_001136.10	78426	79058	+	633	-12.9672763476121	-12.9858416772602	6.86081806870246	3340.14702530526	2.77912938284316e-17	2.59223735026723e-16
4065	YLR151C	NC_001144.5	441715	442737	-	1023	-15.9764515133039	-15.8502344619162	4.13293833807194	3353.98475096593	2.7792711054071e-17	2.59223735026723e-16
4738	YMR154C	NC_001145.3	565999	568182	-	2184	-15.4115680961122	-15.7923065811956	4.72039963878621	3347.50441521413	2.77979503787532e-17	2.59223735026723e-16
4520	YML041C	NC_001145.3	194913	195755	-	843	-13.5061598371979	-14.4561332193589	5.88751558714187	3338.68587843193	2.79314961002991e-17	2.59223735026723e-16
1082	YDR111C	NC_001136.10	678241	679764	-	1524	-15.0976939015394	-15.8445452177901	4.67706237886019	3344.18869796082	2.79509090015729e-17	2.59223735026723e-16
2066	YGL185C	NC_001139.9	153167	154306	-	1140	-16.1562440914388	-15.2474970968437	4.86403782586095	3346.46751352927	2.80060145336888e-17	2.59223735026723e-16
1211	YDR239C	NC_001136.10	941057	943420	-	2364	-13.8795800708024	-14.9245649008906	5.67419502213482	3337.7106089518	2.80145767537856e-17	2.59223735026723e-16
2895	YIL162W	NC_001141.2	37385	38983	+	1599	-13.6033101962147	-13.2517878848553	6.15960215270714	3337.03775289153	2.80193056943331e-17	2.59223735026723e-16
5955	YPL256C	NC_001148.4	64977	66614	-	1638	-13.9854445485079	-14.8161656953444	5.20286385634562	3339.24093789916	2.82049754244822e-17	2.59223735026723e-16
163	YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	-12.6274472782057	-12.5255283520943	7.48590464546462	3331.23327517546	2.82242708910672e-17	2.59223735026723e-16
287	YBR059C	NC_001134.8	356861	360187	-	3327	-11.6409937858724	-13.0327024191786	7.8377552449497	3331.15922390167	2.82248607527128e-17	2.59223735026723e-16
1976	YFR050C	NC_001138.5	249066	249866	-	801	-11.6570139080512	-12.6298112463318	7.71329827347073	3329.93784699881	2.82869711821172e-17	2.59223735026723e-16
2213	YGL039W	NC_001139.9	423961	425007	+	1047	-15.4134466939292	-15.2676383269468	4.69717675479223	3335.49599664962	2.83424084681036e-17	2.59223735026723e-16
2899	YIL158W	NC_001141.2	46201	46815	+	615	-14.729419022906	-15.8471287494963	4.4705028323109	3342.02868193993	2.83622417831635e-17	2.59223735026723e-16
1490	YDR512C	NC_001136.10	1470500	1471063	-	564	-12.9758844381805	-13.8013253112252	6.25415226324544	3329.39912140672	2.83900507854351e-17	2.59223735026723e-16
2400	YGR132C	NC_001139.9	755589	756452	-	864	-12.102528231025	-11.5583852415782	8.01054252836767	3326.92470724598	2.84377725319215e-17	2.59223735026723e-16
6345	YPR133W-A	NC_001148.4	797557	797709	+	153	-13.2519402384508	-13.7562430883864	6.20065323070141	3327.26486277771	2.84916515830171e-17	2.59223735026723e-16
5435	YOL083W	NC_001147.6	165714	166952	+	1239	-14.1729452329758	-14.3640456251091	5.92545373944671	3327.46273800814	2.84940004723062e-17	2.59223735026723e-16
4135	YLR190W	NC_001144.5	535214	536689	+	1476	-12.4763405605295	-14.0112126005908	6.51121267985719	3327.02421323576	2.85064605868064e-17	2.59223735026723e-16
5706	YOR179C	NC_001147.6	671845	672411	-	567	-14.6230979121863	-14.9687873065347	5.12718855019933	3328.27509319548	2.85600228546795e-17	2.59223735026723e-16
2968	YIL094C	NC_001141.2	186517	187632	-	1116	-13.2707349711549	-12.6910825205575	6.95816784380299	3325.01000217743	2.85643520214104e-17	2.59223735026723e-16
3392	YJR052W	NC_001142.9	532062	533759	+	1698	-13.2191341083585	-13.6913211140291	6.45821101062778	3324.81974372663	2.85920064153053e-17	2.59223735026723e-16
5878	YOR349W	NC_001147.6	989789	992833	+	3045	-14.651025085042	-14.1991432296027	6.27751757737789	3324.71816828128	2.86529015181363e-17	2.59223735026723e-16
1631	YER017C	NC_001137.3	189503	191788	-	2286	-11.8318691171059	-12.5830843196412	7.64854118653669	3322.34813165754	2.86784219845425e-17	2.59223735026723e-16
4991	YNL275W	NC_001146.8	119268	120998	+	1731	-13.9344767653418	-14.1234161436811	5.96354789379676	3322.93814065923	2.87251596803838e-17	2.59223735026723e-16
4192	YLR248W	NC_001144.5	634252	636084	+	1833	-11.0480506303961	-11.6309247626509	8.685091117769	3320.79994926896	2.87512490371465e-17	2.59223735026723e-16
6200	YPL011C	NC_001148.4	533642	534703	-	1062	-14.5763924917746	-14.2580030472311	5.4835081540722	3323.33798378229	2.87560103722981e-17	2.59223735026723e-16
3676	YKL058W	NC_001143.9	330166	330534	+	369	-15.0806477611461	-14.2608906668141	5.36678961634123	3324.08330726673	2.87644652991612e-17	2.59223735026723e-16
1002	YDR036C	NC_001136.10	523211	524713	-	1503	-13.0904362016076	-12.9756591921537	6.79658727012405	3320.43208878074	2.88008459112175e-17	2.59223735026723e-16
3035	YIL026C	NC_001141.2	304477	307929	-	3453	-13.6705949829245	-13.3474425824587	6.30511136660105	3320.89597774083	2.88040368526022e-17	2.59223735026723e-16
2472	YGR194C	NC_001139.9	886073	887875	-	1803	-12.9949041496981	-13.7565466442366	6.44176113016115	3319.69398927281	2.88631931799163e-17	2.59223735026723e-16
5524	YOR001W	NC_001147.6	326832	329033	+	2202	-14.8266157303754	-14.3268114702759	5.65490647208523	3321.0129072518	2.88770253912536e-17	2.59223735026723e-16
3323	YJL016W	NC_001142.9	405588	407273	+	1686	-13.1018666804907	-12.4788027636736	7.69672832622034	3318.6506643422	2.88788951035777e-17	2.59223735026723e-16
4225	YLR278C	NC_001144.5	699999	704024	-	4026	-12.8787311943524	-13.005309643645	7.44696091010887	3318.70613257896	2.88792094972779e-17	2.59223735026723e-16
1028	YDR061W	NC_001136.10	574164	575783	+	1620	-13.9638189096058	-13.5113810891935	6.33259012757979	3319.39473907912	2.88856347049104e-17	2.59223735026723e-16
4802	YMR209C	NC_001145.3	685911	687284	-	1374	-15.7261964389181	-15.1380289704276	4.76071642324261	3325.65189163994	2.88888161832473e-17	2.59223735026723e-16
1993	YGL255W	NC_001139.9	20978	22108	+	1131	-15.3201579902822	-15.1591909060563	5.21201008271684	3323.18055298985	2.88916375720247e-17	2.59223735026723e-16
1497	YDR519W	NC_001136.10	1480425	1480832	+	408	-14.9489985979272	-13.5287433303797	5.75092644581164	3320.76646045647	2.89028652115689e-17	2.59223735026723e-16
6004	YPL207W	NC_001148.4	159909	162341	+	2433	-12.3910421534795	-12.3071725285114	7.6220366536638	3317.32739605978	2.8943668327371e-17	2.59223735026723e-16
4012	YLR099W-A	NC_001144.5	341325	341588	+	264	-14.1935961020336	-15.3472807986113	4.9233794062056	3325.56093562929	2.89732199189542e-17	2.59223735026723e-16
6035	YPL176C	NC_001148.4	216012	218363	-	2352	-14.3043916911528	-13.9715152863449	6.07100730885331	3316.71880616658	2.9047181770559e-17	2.59223735026723e-16
4560	YML003W	NC_001145.3	263483	264355	+	873	-17.2743433691077	-16.1893532125856	3.92951097952795	3379.89188810025	2.91310540310311e-17	2.59223735026723e-16
4544	YML017W	NC_001145.3;NC_001145.3	236588;236954	236591;238731	+;+	1782	-13.2423662682571	-13.7919273602363	6.692927675252	3313.76112999323	2.91673420683764e-17	2.59223735026723e-16
4267	YLR320W	NC_001144.5	771940	776304	+	4365	-14.1873022310919	-14.032509830242	6.42187287556769	3314.04797704126	2.91800403937155e-17	2.59223735026723e-16
2545	YGR266W	NC_001139.9	1022656	1024761	+	2106	-14.6626371645543	-14.417070446568	5.53401572066634	3314.39053039419	2.9222837035536e-17	2.59223735026723e-16
2479	YGR201C	NC_001139.9	902520	903197	-	678	-14.4903776960647	-15.3858381084084	7.07514140549019	3314.75366770408	2.92453687321272e-17	2.59223735026723e-16
3107	YIR037W	NC_001141.2	423128	423619	+	492	-11.6650392765526	-11.9988712741345	8.01216156777654	3308.64463629474	2.93941638124782e-17	2.59223735026723e-16
1313	YDR333C	NC_001136.10	1133260	1135431	-	2172	-13.8279375565502	-14.0680938794754	5.9964638421387	3310.03434549758	2.93976209439025e-17	2.59223735026723e-16
435	YBR204C	NC_001134.8	632254	633381	-	1128	-14.9786811840585	-15.0004055786565	5.18812894994012	3312.41697115803	2.94081351245279e-17	2.59223735026723e-16
2543	YGR263C	NC_001139.9	1017967	1019241	-	1275	-15.0884352741702	-14.9511689762272	5.04653840011314	3312.27181856696	2.94346232190028e-17	2.59223735026723e-16
1634	YER019C-A	NC_001137.3	194273	194539	-	267	-11.8151938794244	-12.6682641755361	7.51198092576285	3308.00746254777	2.94423573379888e-17	2.59223735026723e-16
1196	YDR223W	NC_001136.10	912099	913502	+	1404	-14.8232773010685	-14.6564549543579	6.26281086634259	3309.20564032353	2.95041902833656e-17	2.59223735026723e-16
5564	YOR036W	NC_001147.6	400348	401214	+	867	-12.4811062620865	-12.9643163002375	7.27706719708257	3306.79789897239	2.95107832625593e-17	2.59223735026723e-16
6326	YPR114W	NC_001148.4	753301	754248	+	948	-14.0981739675422	-14.505523700656	5.6264970083496	3308.57706673268	2.95171272606978e-17	2.59223735026723e-16
2699	YHR057C	NC_001140.6	218226	218843	-	618	-13.5515589232472	-13.7308038214312	6.2961553682322	3307.00522823315	2.95379831358954e-17	2.59223735026723e-16
3864	YLL049W	NC_001144.5	40666	41205	+	540	-14.7624830090325	-14.82875065121	5.1611228750759	3307.24228033773	2.96643455539464e-17	2.59223735026723e-16
2108	YGL141W	NC_001139.9	238353	241085	+	2733	-13.7884698164812	-13.6950968936353	6.53150586913836	3304.14069373653	2.96955695842006e-17	2.59223735026723e-16
5976	YPL235W	NC_001148.4	103232	104647	+	1416	-14.0280727923604	-14.2749320103026	5.77693999080367	3304.88996074222	2.969605075166e-17	2.59223735026723e-16
1138	YDR170C	NC_001136.10	796193	802222	-	6030	-11.5969079034653	-11.553279114889	8.47409636513948	3301.78479174082	2.97632521636769e-17	2.59223735026723e-16
4736	YMR152W	NC_001145.3	563096	564193	+	1098	-13.0362118700163	-13.0844491735839	6.99082894320212	3302.14967220041	2.97786345570683e-17	2.59223735026723e-16
568	YCL039W	NC_001135.5	52645	54882	+	2238	-14.0537245046703	-15.1997331476549	5.58958363375692	3302.49310919659	2.98848711115043e-17	2.59223735026723e-16
3874	YLL036C	NC_001144.5	66745	68256	-	1512	-14.6262897971004	-14.3564134610558	5.55849123300361	3300.87718941862	2.9945921840631e-17	2.59223735026723e-16
5879	YOR350C	NC_001147.6	992864	994855	-	1992	-14.037736632264	-12.5566717155544	6.88316262970307	3299.27030909586	2.99509068244592e-17	2.59223735026723e-16
5958	YPL253C	NC_001148.4	71063	73006	-	1944	-15.1956896826507	-15.4178587777941	4.6049031200868	3305.4067392443	2.9962891654993e-17	2.59223735026723e-16
3919	YLR008C	NC_001144.5	165577	166083	-	507	-15.0160618372265	-14.4446277584269	5.01249605472918	3302.99184905877	3.00090678210382e-17	2.59223735026723e-16
30	YAL039C	NC_001133.9	68716	69525	-	810	-13.9921271442799	-13.9895155748514	5.96082828262967	3297.82534602963	3.00655053909138e-17	2.59223735026723e-16
3599	YKL130C	NC_001143.9	195288	196028	-	741	-15.6275992143707	-15.0021152192799	4.72930828983812	3302.82643272437	3.00997492041411e-17	2.59223735026723e-16
1309	YDR329C	NC_001136.10	1126270	1127595	-	1326	-12.3225270684898	-13.2529236430895	7.03208154871284	3295.25358448437	3.01533974385373e-17	2.59223735026723e-16
6079	YPL132W	NC_001148.4	301716	302618	+	903	-13.8323604350947	-13.9339214647599	5.89477749395161	3294.57732763529	3.02535996216016e-17	2.59223735026723e-16
2756	YHR111W	NC_001140.6	333072	334394	+	1323	-13.900660105369	-13.5298222315428	6.2238074079238	3293.87200106319	3.02694881369453e-17	2.59223735026723e-16
472	YBR239C	NC_001134.8	698354	699943	-	1590	-14.2967689196531	-14.3830069151428	6.02922776399882	3294.28724755789	3.02701412181766e-17	2.59223735026723e-16
2901	YIL156W-B	NC_001141.2;NC_001141.2	47690;47761	47698;47973	+;+	222	-13.566152941095	-13.6834982618644	6.03931826116351	3294.04742240274	3.02772753840208e-17	2.59223735026723e-16
3203	YJL128C	NC_001142.9	178097	180103	-	2007	-13.4884556026651	-13.599251656152	6.38158531776988	3291.30911651146	3.03905730562567e-17	2.59223735026723e-16
5025	YNL240C	NC_001146.8	198502	199977	-	1476	-13.9506714699938	-14.3633539298031	5.6347456350719	3290.54233298729	3.05051847070055e-17	2.59223735026723e-16
2476	YGR198W	NC_001139.9	894693	897146	+	2454	-14.0398878927985	-13.6116847191259	6.10407697581812	3288.94027439063	3.05478461732757e-17	2.59223735026723e-16
1468	YDR489W	NC_001136.10	1431012	1431896	+	885	-15.8857528140717	-16.0672417052245	3.89048792842825	3307.08031666937	3.06063131877071e-17	2.59223735026723e-16
6125	YPL087W	NC_001148.4	383455	384408	+	954	-10.7708811180218	-11.7669833697827	8.77043678548643	3285.72285555954	3.06501555598549e-17	2.59223735026723e-16
351	YBR122C	NC_001134.8	483970	484503	-	534	-12.3172922312193	-12.7858496623512	7.16294116683837	3285.6288028245	3.06791454713188e-17	2.59223735026723e-16
